,datetime,price,ticker,date,sp500,ln_return_index,ln_return_price,roll_resid,year,month
12999,2017-05-19,113.83999633789062,ALXN,2017-05-19,4588.350098,0.006765989742337899,-0.024555499528778765,-0.024555499528778765,2017,5
13006,2017-05-22,115.41999816894531,ALXN,2017-05-22,4612.120117,0.0051671428376036865,0.013783711805863965,0.013783711805863965,2017,5
13013,2017-05-23,104.63999938964844,ALXN,2017-05-23,4620.700195,0.0018586044523739302,-0.09805175154252652,-0.09805175154252652,2017,5
13020,2017-05-24,101.08000183105469,ALXN,2017-05-24,4632.370117,0.0025223904701794472,-0.034613581241118935,-0.034613581241118935,2017,5
13027,2017-05-25,98.5,ALXN,2017-05-25,4653.589844,0.004570289776130953,-0.025855752456856052,-0.025855752456856052,2017,5
13034,2017-05-26,97.6999969482422,ALXN,2017-05-26,4655.649902,0.0004425835169864689,-0.008155020365312798,-0.008155020365312798,2017,5
13041,2017-05-30,97.77999877929688,ALXN,2017-05-30,4650.759765999999,-0.0010509179424763285,0.0008185168535889247,0.0008185168535889247,2017,5
13048,2017-05-31,98.02999877929688,ALXN,2017-05-31,4649.339844,-0.00030535630166920704,0.0025534971549730206,0.0025534971549730206,2017,5
13055,2017-06-01,100.58000183105469,ALXN,2017-06-01,4685.1098630000015,0.007664124873628406,0.02567990712748428,0.02567990712748428,2017,6
13062,2017-06-02,101.83000183105469,ALXN,2017-06-02,4702.560059,0.0037176884665840754,0.012351325216283002,0.012351325216283002,2017,6
13069,2017-06-05,101.61000061035156,ALXN,2017-06-05,4697.0,-0.0011830467838045149,-0.002162812660463481,-0.002162812660463481,2017,6
13076,2017-06-06,101.47000122070312,ALXN,2017-06-06,4683.959961,-0.002780109381788641,-0.0013787611834170865,-0.0013787611834170865,2017,6
13083,2017-06-07,100.13999938964844,ALXN,2017-06-07,4692.290039,0.001776846861300292,-0.013193999514362858,-0.013193999514362858,2017,6
13090,2017-06-08,102.91999816894531,ALXN,2017-06-08,4693.669922,0.00029403130115072577,0.027382768815678905,0.027382768815678905,2017,6
13097,2017-06-09,105.37999725341795,ALXN,2017-06-09,4689.790039,-0.0008269621732783672,0.023620869095045512,0.023620869095045512,2017,6
13104,2017-06-12,106.87999725341795,ALXN,2017-06-12,4685.540039,-0.0009066348076839077,0.014133845372983712,0.014133845372983712,2017,6
13111,2017-06-13,108.0,ALXN,2017-06-13,4707.879883,0.004756496846521763,0.010424543033695458,0.010424543033695458,2017,6
13118,2017-06-14,118.0,ALXN,2017-06-14,4703.529785,-0.0009244307629239144,0.08855339734144503,0.08855339734144503,2017,6
