,ticker,year,month,gs_poswords,gs_negwords
361,GILD,2020,6,478,942
362,GILD,2020,7,208,345
363,GILD,2020,8,177,219
364,GILD,2020,9,329,670
365,GILD,2020,10,239,471
366,GILD,2020,11,5201,8205
367,GILD,2020,12,270,597
368,INCY,2012,10,90,199
369,INCY,2013,7,19430,47803
370,INCY,2013,8,19430,47803
371,INCY,2015,10,1357,1679
372,INCY,2015,11,1003,1241
373,INCY,2015,12,885,1095
374,INCY,2016,2,20894,58537
375,INCY,2017,6,16285,47585
376,INCY,2017,11,8,27
377,INCY,2017,12,8,27
378,INCY,2018,1,50067,139317
379,INCY,2019,1,268194,701534
380,INCY,2019,2,85698,164988
381,INCY,2019,3,228528,439968
382,INCY,2019,4,142830,274980
383,INCY,2019,5,228528,439968
384,INCY,2019,6,0,0
385,REGN,2010,8,0,0
386,REGN,2010,11,0,0
387,REGN,2011,1,0,0
388,REGN,2011,3,0,0
389,REGN,2011,8,0,0
390,REGN,2011,10,0,0
391,REGN,2011,11,0,0
392,REGN,2011,12,0,0
393,REGN,2012,1,0,0
394,REGN,2012,12,0,0
395,REGN,2013,3,0,0
396,REGN,2013,6,0,0
397,REGN,2013,7,0,0
398,REGN,2013,8,0,0
399,REGN,2013,9,0,0
400,REGN,2013,10,0,0
401,REGN,2013,12,0,0
402,REGN,2014,5,0,0
403,REGN,2014,7,0,0
404,REGN,2014,8,0,0
405,REGN,2014,9,0,0
406,REGN,2014,10,0,0
407,REGN,2014,11,0,0
408,REGN,2015,1,0,0
409,REGN,2015,2,0,0
410,REGN,2015,3,0,0
411,REGN,2015,5,0,0
412,REGN,2015,6,0,0
413,REGN,2015,8,0,0
414,REGN,2015,9,0,0
415,REGN,2015,10,0,0
416,REGN,2016,4,0,0
417,REGN,2016,5,0,0
418,REGN,2016,6,0,0
419,REGN,2016,7,0,0
420,REGN,2016,8,0,0
421,REGN,2016,9,0,0
422,REGN,2016,10,0,0
423,REGN,2016,11,0,0
424,REGN,2016,12,0,0
425,REGN,2017,1,0,0
426,REGN,2017,2,0,0
427,REGN,2017,3,0,0
428,REGN,2017,4,0,0
429,REGN,2017,5,0,0
430,REGN,2017,6,0,0
431,REGN,2017,7,0,0
432,REGN,2017,8,0,0
433,REGN,2017,9,0,0
434,REGN,2017,10,0,0
435,REGN,2017,11,0,0
436,REGN,2018,1,0,0
437,REGN,2018,2,0,0
438,REGN,2018,3,0,0
439,REGN,2018,4,0,0
440,REGN,2018,5,0,0
441,REGN,2018,6,0,0
442,REGN,2018,8,0,0
443,REGN,2018,10,0,0
444,REGN,2018,11,0,0
445,REGN,2018,12,0,0
446,REGN,2019,1,0,0
447,REGN,2019,2,0,0
448,REGN,2019,3,0,0
449,REGN,2019,4,0,0
450,REGN,2019,5,0,0
451,REGN,2019,6,0,0
452,REGN,2019,7,0,0
453,REGN,2019,8,0,0
454,REGN,2019,9,0,0
455,REGN,2019,10,0,0
456,REGN,2019,11,0,0
457,REGN,2019,12,0,0
458,REGN,2020,1,0,0
459,REGN,2020,2,0,0
460,REGN,2020,3,0,0
461,REGN,2020,4,0,0
462,REGN,2020,5,0,0
463,REGN,2020,6,0,0
464,REGN,2020,8,0,0
465,REGN,2020,9,0,0
466,REGN,2020,10,0,0
467,REGN,2020,12,0,0
468,VRTX,2010,1,0,0
469,VRTX,2011,1,0,0
470,VRTX,2011,3,0,0
471,VRTX,2011,4,0,0
472,VRTX,2011,10,0,0
473,VRTX,2011,12,0,0
474,VRTX,2012,1,0,0
475,VRTX,2012,2,0,0
476,VRTX,2012,5,0,0
477,VRTX,2012,7,0,0
478,VRTX,2012,9,0,0
479,VRTX,2012,10,0,0
480,VRTX,2012,11,0,0
481,VRTX,2012,12,0,0
482,VRTX,2013,4,0,0
483,VRTX,2014,11,0,0
484,VRTX,2015,2,0,0
485,VRTX,2015,6,0,0
486,VRTX,2015,7,0,0
487,VRTX,2015,8,0,0
488,VRTX,2015,9,0,0
489,VRTX,2015,10,0,0
490,VRTX,2015,11,0,0
491,VRTX,2015,12,0,0
492,VRTX,2016,2,0,0
493,VRTX,2016,4,0,0
494,VRTX,2016,5,0,0
495,VRTX,2016,6,0,0
496,VRTX,2016,7,0,0
497,VRTX,2016,10,0,0
498,VRTX,2016,11,0,0
499,VRTX,2016,12,0,0
500,VRTX,2017,4,0,0
501,VRTX,2017,5,0,0
502,VRTX,2017,6,0,0
503,VRTX,2017,7,0,0
504,VRTX,2017,8,0,0
505,VRTX,2017,10,0,0
506,VRTX,2017,11,0,0
507,VRTX,2017,12,0,0
508,VRTX,2018,1,0,0
509,VRTX,2018,2,0,0
510,VRTX,2018,4,0,0
511,VRTX,2018,5,0,0
512,VRTX,2018,8,0,0
513,VRTX,2018,9,0,0
514,VRTX,2018,10,0,0
515,VRTX,2018,12,0,0
516,VRTX,2019,1,0,0
517,VRTX,2019,2,0,0
