,ticker,date,poswords,negwords,daily_filing_count
205,ALXN,2015-01-07,317.0,467.0,1
206,ALXN,2015-01-29,4243.0,9791.0,1
207,ALXN,2015-02-06,16517.0,21438.0,1
208,ALXN,2015-02-11,120.0,1104.0,1
209,ALXN,2015-03-16,431.0,538.0,1
210,ALXN,2015-03-26,143.0,286.0,1
211,ALXN,2015-04-07,1686.0,2169.0,1
212,ALXN,2015-04-23,2466.0,5511.0,1
213,ALXN,2015-04-24,13701.0,17906.0,1
214,ALXN,2015-05-06,18418.0,22112.0,1
215,ALXN,2015-05-12,655.0,1394.0,1
216,ALXN,2015-06-23,15616.0,20540.0,1
217,ALXN,2015-07-30,3657.0,8465.0,1
218,ALXN,2015-07-31,13459.0,17975.0,1
219,ALXN,2015-08-13,2973.0,4463.0,2
220,ALXN,2015-08-17,203.0,340.0,1
221,ALXN,2015-10-29,4182.0,9906.0,1
222,ALXN,2015-11-02,13452.0,17539.0,1
223,ALXN,2016-01-14,2994.0,3390.0,1
224,ALXN,2016-02-03,4928.0,11744.0,1
225,ALXN,2016-02-08,16296.0,21314.0,1
226,ALXN,2016-03-03,200.0,388.0,1
227,ALXN,2016-04-28,3017.0,6852.0,1
228,ALXN,2016-04-29,13555.0,18135.0,1
229,ALXN,2016-05-16,569.0,1258.0,1
230,ALXN,2016-06-06,615.0,876.0,1
231,ALXN,2016-07-28,3774.0,7380.0,1
232,ALXN,2016-07-29,13331.0,17648.0,1
233,ALXN,2016-08-08,197.0,386.0,1
234,ALXN,2016-09-22,389.0,498.0,1
235,ALXN,2016-10-27,3298.0,6454.0,1
236,ALXN,2016-11-09,308.0,523.0,1
237,ALXN,2016-11-16,324.0,543.0,1
238,ALXN,2016-12-12,709.0,869.0,1
239,ALXN,2017-01-04,13426.0,17566.0,1
240,ALXN,2017-01-05,983.0,1371.0,1
241,ALXN,2017-02-16,16473.0,21429.0,2
242,ALXN,2017-03-02,656.0,1034.0,1
243,ALXN,2017-03-27,582.0,851.0,1
244,ALXN,2017-04-27,13558.0,18341.0,2
245,ALXN,2017-05-12,636.0,1343.0,1
246,ALXN,2017-05-23,574.0,785.0,1
247,ALXN,2017-06-13,476.0,773.0,1
248,ALXN,2017-07-27,13644.0,17797.0,2
249,ALXN,2017-09-12,700.0,1342.0,1
250,ALXN,2017-09-15,381.0,731.0,1
251,ALXN,2017-10-26,13534.0,17637.0,2
252,ALXN,2017-11-08,363.0,715.0,1
253,ALXN,2018-01-22,351.0,568.0,1
254,ALXN,2018-02-05,346.0,536.0,1
255,ALXN,2018-02-08,14993.0,20295.0,2
256,ALXN,2018-02-13,115.0,149.0,1
257,ALXN,2018-04-11,3331.0,3592.0,1
258,ALXN,2018-04-26,12322.0,16366.0,2
259,ALXN,2018-05-11,462.0,970.0,1
260,ALXN,2018-06-13,18679.0,17959.0,1
261,ALXN,2018-06-28,246.0,560.0,1
262,ALXN,2018-07-26,12112.0,15874.0,2
263,ALXN,2018-10-01,630.0,928.0,1
264,ALXN,2018-10-24,12176.0,15630.0,2
265,ALXN,2018-11-16,194.0,383.0,1
266,ALXN,2018-12-21,187.0,363.0,1
267,ALXN,2019-02-04,6679.0,8936.0,1
268,ALXN,2019-02-06,17003.0,20752.0,1
269,ALXN,2019-04-25,11886.0,15794.0,2
270,ALXN,2019-05-17,460.0,971.0,1
271,ALXN,2019-07-24,10897.0,18883.0,2
272,ALXN,2019-09-05,906.0,2214.0,1
273,ALXN,2019-09-17,1035.0,2401.0,1
274,ALXN,2019-10-16,13233.0,21482.0,1
275,ALXN,2019-10-21,1196.0,2272.0,1
276,ALXN,2019-10-23,10876.0,18976.0,2
277,ALXN,2020-01-13,1372.0,2580.0,1
278,ALXN,2020-01-28,4612.0,5682.0,1
279,ALXN,2020-01-30,8340.0,11619.0,1
280,ALXN,2020-02-04,15361.0,24114.0,1
281,ALXN,2020-02-13,111.0,155.0,1
282,ALXN,2020-05-05,1920.0,4178.0,1
283,ALXN,2020-05-06,12313.0,17968.0,2
284,ALXN,2020-05-07,12515.0,18183.0,1
285,ALXN,2020-05-19,1394.0,3137.0,1
286,AMGN,0,3522.0,4542.0,36
287,AMGN,2002-07-23,195.0,210.0,1
288,AMGN,2002-08-13,11545.0,16414.0,1
289,AMGN,2002-11-05,6710.0,8851.0,1
290,AMGN,2003-03-10,9455.0,25585.0,1
291,AMGN,2003-05-02,9121.0,20214.0,1
292,AMGN,2003-07-30,7100.0,16415.0,1
293,AMGN,2003-10-29,4558.0,10593.0,1
294,AMGN,2004-03-11,10142.0,12600.0,1
295,AMGN,2004-05-03,4471.0,6558.0,1
296,AMGN,2004-08-06,12690.0,15361.0,1
297,AMGN,2004-11-09,6460.0,8025.0,1
298,AMGN,2005-03-09,13232.0,19500.0,1
299,AMGN,2005-05-04,5304.0,8046.0,1
300,AMGN,2005-08-05,8512.0,12306.0,1
301,AMGN,2005-11-09,6268.0,9323.0,1
302,AMGN,2006-02-03,208.0,1013.0,1
303,AMGN,2006-02-13,389.0,927.0,2
304,AMGN,2006-02-15,270.0,775.0,1
305,AMGN,2006-02-21,11688.0,26758.0,1
