date,sp500
11/6/2013,3165.129883
11/7/2013,3124.120117
11/8/2013,3166.110107
11/11/2013,3168.409912
11/12/2013,3161.100098
11/13/2013,3187.639893
11/14/2013,3203.649902
11/15/2013,3217.199951
11/18/2013,3205.459961
11/19/2013,3199.52002
11/20/2013,3188.040039
11/21/2013,3214.159912
11/22/2013,3230.540039
11/25/2013,3226.530029
11/26/2013,3227.360107
11/27/2013,3236.139893
11/29/2013,3233.719971
12/2/2013,3225.060059
12/3/2013,3214.949951
12/4/2013,3211.590088
12/5/2013,3197.76001
12/6/2013,3233.98999
12/9/2013,3239.98999
12/10/2013,3229.719971
12/11/2013,3193.52002
12/12/2013,3182.330078
12/13/2013,3182.070068
12/16/2013,3202.219971
12/17/2013,3192.330078
12/18/2013,3245.590088
12/19/2013,3244.149902
12/20/2013,3259.790039
12/23/2013,3277.620117
12/24/2013,3287.550049
12/26/2013,3303.149902
12/27/2013,3302.659912
12/30/2013,3302.300049
12/31/2013,3315.590088
1/2/2014,3286.689941
1/3/2014,3285.679932
1/6/2014,3277.47998
1/7/2014,3297.449951
1/8/2014,3297.73999
1/9/2014,3298.870117
1/10/2014,3306.48999
1/13/2014,3265.27002
1/14/2014,3300.610107
1/15/2014,3317.75
1/16/2014,3313.360107
1/17/2014,3300.51001
1/21/2014,3309.73999
1/22/2014,3312.040039
1/23/2014,3282.639893
1/24/2014,3214.139893
1/27/2014,3198.570068
1/28/2014,3218.209961
1/29/2014,3185.699951
1/30/2014,3221.780029
1/31/2014,3200.949951
2/3/2014,3127.870117
2/4/2014,3151.939941
2/5/2014,3146.48999
2/6/2014,3187.25
2/7/2014,3229.649902
2/10/2014,3234.790039
2/11/2014,3270.73999
2/12/2014,3271.469971
2/13/2014,3290.820068
2/14/2014,3306.919922
2/18/2014,3311.27002
2/19/2014,3289.830078
2/20/2014,3310.27002
2/21/2014,3304.360107
2/24/2014,3324.840088
2/25/2014,3320.429932
2/26/2014,3321.149902
2/27/2014,3338.050049
